,Country,Continent,,,Country,,
65,Djibouti,Africa,,,,,
66,Dominica,North America,,,,,
67,Dominican Republic,North America,,,,,
68,Ecuador,South America,,,,,
69,Egypt,Africa,,,,,
70,El Salvador,North America,,,,,
71,Equatorial Guinea,Africa,,,,,
72,Eritrea,Africa,,,,,
73,Estonia,Europe,,,,,
74,Eswatini,Africa,,,,,
75,Ethiopia,Africa,,,,,
76,Falkland Islands (Malvinas),South America,,,,,
77,Faroe Islands,Europe,,,,,
78,Fiji,Oceania,,,,,
79,Finland,Europe,,,,,
80,France,Europe,,,,,
81,French Guiana,South America,,,,,
82,French Polynesia,Oceania,,,,,
83,French Southern Territories,Africa,,,,,
84,Gabon,Africa,,,,,
85,Gambia,Africa,,,,,
86,Georgia,Asia,,,,,
87,Germany,Europe,,,,,
88,Ghana,Africa,,,,,
89,Gibraltar,Europe,,,,,
90,Greece,Europe,,,,,
91,Greenland,North America,,,,,
92,Grenada,North America,,,,,
93,Guadeloupe,North America,,,,,
94,Guam,Oceania,,,,,
95,Guatemala,North America,,,,,
96,Guernsey,Europe,,,,,
97,Guinea,Africa,,,,,
98,Guinea-Bissau,Africa,,,,,
99,Guyana,South America,,,,,
100,Haiti,North America,,,,,
101,Heard Island and McDonald Islands,Oceania,,,,,
102,Holy See,Europe,,,,,
103,Honduras,North America,,,,,
104,Hungary,Europe,,,,,
105,Iceland,Europe,,,,,
106,India,Asia,,,,,
107,Indonesia,Asia,,,,,
108,Iran (Islamic Republic of),Asia,,,,,
109,Iraq,Asia,,,,,
110,Ireland,Europe,,,,,
111,Isle of Man,Europe,,,,,
112,Israel,Asia,,,,,
113,Italy,Europe,,,,,
114,Jamaica,North America,,,,,
115,Japan,Asia,,,,,
116,Jersey,Europe,,,,,
117,Jordan,Asia,,,,,
118,Kazakhstan,Asia,,,,,
119,Kenya,Africa,,,,,
120,Kiribati,Oceania,,,,,
121,Kuwait,Asia,,,,,
122,Kyrgyzstan,Asia,,,,,
123,Lao People's Democratic Republic,Asia,,,,,
124,Latvia,Europe,,,,,
125,Lebanon,Asia,,,,,
126,Lesotho,Africa,,,,,
127,Liberia,Africa,,,,,
128,Libya,Africa,,,,,
129,Liechtenstein,Europe,,,,,
130,Lithuania,Europe,,,,,
131,Luxembourg,Europe,,,,,
132,Madagascar,Africa,,,,,
133,Malawi,Africa,,,,,
134,Malaysia,Asia,,,,,
135,Maldives,Asia,,,,,
136,Mali,Africa,,,,,
137,Malta,Europe,,,,,
138,Marshall Islands,Oceania,,,,,
139,Martinique,North America,,,,,
140,Mauritania,Africa,,,,,
141,Mauritius,Africa,,,,,
142,Mayotte,Africa,,,,,
143,Mexico,North America,,,,,
144,Micronesia (Federated States of),Oceania,,,,,
145,Monaco,Europe,,,,,
146,Mongolia,Asia,,,,,
147,Montenegro,Europe,,,,,
148,Montserrat,North America,,,,,
149,Morocco,Africa,,,,,
150,Mozambique,Africa,,,,,
151,Myanmar,Asia,,,,,
152,Namibia,Africa,,,,,
153,Nauru,Oceania,,,,,
154,Nepal,Asia,,,,,
155,Netherlands,Europe,,,,,
156,New Caledonia,Oceania,,,,,
157,New Zealand,Oceania,,,,,
158,Nicaragua,North America,,,,,
159,Niger,Africa,,,,,
160,Nigeria,Africa,,,,,
161,Niue,Oceania,,,,,
162,Norfolk Island,Oceania,,,,,
163,North Macedonia,Europe,,,,,
164,Northern Mariana Islands,Oceania,,,,,
165,Norway,Europe,,,,,
166,Oman,Asia,,,,,
167,Pakistan,Asia,,,,,
168,Palau,Oceania,,,,,
169,Panama,North America,,,,,
170,Papua New Guinea,Oceania,,,,,
171,Paraguay,South America,,,,,
172,Peru,South America,,,,,
173,Philippines,Asia,,,,,
174,Pitcairn,Oceania,,,,,
175,Poland,Europe,,,,,
176,Portugal,Europe,,,,,
177,Puerto Rico,North America,,,,,
178,Qatar,Asia,,,,,
179,Republic of Korea,Asia,,,,,
180,Republic of Moldova,Europe,,,,,
181,Réunion,Africa,,,,,
182,Romania,Europe,,,,,
183,Russian Federation,Europe,,,,,
184,Rwanda,Africa,,,,,
185,Saint Barthélemy,North America,,,,,
186,Saint Helena,Africa,,,,,
187,Saint Kitts and Nevis,North America,,,,,
188,Saint Lucia,North America,,,,,
189,Saint Martin (French Part),North America,,,,,
190,Saint Pierre and Miquelon,North America,,,,,
191,Saint Vincent and the Grenadines,North America,,,,,
192,Samoa,Oceania,,,,,
193,San Marino,Europe,,,,,
194,Sao Tome and Principe,Africa,,,,,
195,Sark,Europe,,,,,
196,Saudi Arabia,Asia,,,,,
197,Senegal,Africa,,,,,
198,Serbia,Europe,,,,,
199,Seychelles,Africa,,,,,
200,Sierra Leone,Africa,,,,,
201,Singapore,Asia,,,,,
202,Sint Maarten (Dutch part),North America,,,,,
203,Slovakia,Europe,,,,,
204,Slovenia,Europe,,,,,
205,Solomon Islands,Oceania,,,,,
206,Somalia,Africa,,,,,
207,South Africa,Africa,,,,,
208,South Georgia and the South Sandwich Islands,South America,,,,,
209,South Sudan,Africa,,,,,
210,Spain,Europe,,,,,
211,Sri Lanka,Asia,,,,,
212,State of Palestine,Asia,,,,,
213,Sudan,Africa,,,,,
214,Suriname,South America,,,,,
215,Svalbard and Jan Mayen Islands,Europe,,,,,
216,Sweden,Europe,,,,,
217,Switzerland,Europe,,,,,
218,Syrian Arab Republic,Asia,,,,,
219,Tajikistan,Asia,,,,,
220,Thailand,Asia,,,,,
221,Timor-Leste,Asia,,,,,
222,Togo,Africa,,,,,
223,Tokelau,Oceania,,,,,
224,Tonga,Oceania,,,,,
225,Trinidad and Tobago,North America,,,,,
226,Tunisia,Africa,,,,,
227,Turkey,Asia,,,,,
228,Turkmenistan,Asia,,,,,
229,Turks and Caicos Islands,North America,,,,,
230,Tuvalu,Oceania,,,,,
231,Uganda,Africa,,,,,
232,Ukraine,Europe,,,,,
233,United Arab Emirates,Asia,,,,,
234,United Kingdom of Great Britain and Northern Ireland,Europe,,,,,
235,United Republic of Tanzania,Africa,,,,,
236,United States Minor Outlying Islands,Oceania,,,,,
237,United States of America,North America,,,,,
238,United States Virgin Islands,North America,,,,,
239,Uruguay,South America,,,,,
240,Uzbekistan,Asia,,,,,
241,Vanuatu,Oceania,,,,,
242,Venezuela (Bolivarian Republic of),South America,,,,,
243,Viet Nam,Asia,,,,,
244,Wallis and Futuna Islands,Oceania,,,,,
245,Western Sahara,Africa,,,,,
246,Yemen,Asia,,,,,
247,Zambia,Africa,,,,,
248,Zimbabwe,Africa,,,,,
